regulation_project_id;Содержательные издержки: Описание социально-экономических последствий реализации проекта акта;Содержательные издержки: Единовременные;Содержательные издержки: Периодические;Информационные издержки: Описание социально-экономических последствий реализации проекта акта;Информационные издержки: Единовременные;Информационные издержки: Периодические;Преимущества и (или) иные выгоды: Описание социально-экономических последствий реализации проекта акта;Преимущества и (или) иные выгоды: Единовременные;Преимущества и (или) иные выгоды: Периодические
7981;-;-;-;-;-;-;-;-;-
7981;-;-;-;-;-;-;-;-;-
15247;-;-;-;-;-;-;-;-;-
15247;-;-;-;-;-;-;-;-;-
17151;Законопроект не регулирует вопросы предпринимательской деятельности и в этой связи не содержит издержек для предпринимательской деятельности;-;-;Законопроект не регулирует вопросы предпринимательской деятельности и в этой связи не содержит издержек для предпринимательской деятельности;-;-;Законопроект не регулирует вопросы предпринимательской деятельности и в этой связи не содержит издержек для предпринимательской деятельности;Законопроект не регулирует вопросы предпринимательской деятельности и в этой связи не содержит издержек для предпринимательской деятельности;-
17151;-;--;-;--;-;-;-;-;-
18827;Затраты на проведение ликвидационных мероприятий в соответствии с проектной документацией;-;-;-;-;-;-;-;-
18827;-;-;-;-;-;-;-;-;-
18888;Отсутствует;Отсутствуют;Отсутствуют;Отсутствует;Отсутствуют;Отсутствуют;Учет стоимости содержания имущества переданного собственником в безвозмездное пользование государственным контрольным органам при определении налогооблагаемой базы;Учет стоимости содержания имущества переданного собственником в безвозмездное пользование государственным контрольным органам при определении налогооблагаемой базы;1
18888;-;-;-;-;-;-;-;-;-
20305;-;-;-;-;-;-;-;-;-
20305;-;-;-;-;-;-;-;-;-
40884;-;-;-;-;-;-;-;-;-
40884;-;-;-;-;-;-;-;-;-
45699;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
45699;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
46233;нет; ; ;нет; ; ; ; ; 
46233;нет; ; ;нет; ; ;нет; ; 
47032;0;0;0;0;0;0;0;0;0
47032;0;0;0;0;0;0;Создание информационной основы (базы исходных данных) для принятия решений в целях повышения эффективности использования земельных и водных ресурсов.;0;0
47262;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
47262;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
47274;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется
47274;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется;уточняется
47312;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47312;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47356;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47356;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47365;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47365;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47428;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47428;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47431;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
47431;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
47473;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
47473;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
50240;-;-;-;-;-;-;-;-;-
50240;-;-;-;-;-;-;-;-;-
52754;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
52754;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
53389; ; ; ; ; ; ; ; ; 
53389; ; ; ; ; ; ; ; ; 
55324;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
55324;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
59783; ; ; ; ; ; ; ; ; 
59783; ; ; ; ; ; ; ; ; 
