regulation_project_id;Наименование новой или изменяемой функции, полномочия, обязанности или права;Наименование органа;Единовременные расходы в год возникновения;Периодические расходы за период;Возможные поступления за период
7208;нет;нет;нет;нет;нет
7258;нет;не предусматриваются;не предусматриваются;не предусматриваются;не предусматриваются
7462;-;В связи с принятием акта расходы (поступления) бюджетов бюджетной системы Российской Федерации не прудесмотрены;-;-;-
7981;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
8475;г;г;г;г;г
10140;Отсутствуют;-;-;-;-
10805;-;Дополнительных расходов бюджетов бюджетной системы Российской Федерации в результате принятия законопроекта не предполагается, однако вследствие создания благоприятных условий повышения активности деятельности субъектов малого и среднего предпринимательства предполагается увеличение доходов бюджетов органов местного самоуправления.;-;-;-
11195;Новые функции, полномочия, обязанности и права МЧС России данными изменениями не вводятся.;МЧС России;не предусмотрены;не предусмотрены;не предусмотрены
11760;Нет;Нет;Отсутствуют;Отсутствуют;Отсутствуют
12524;Нет;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор);В объеме бюджетного финансирования на осуществление полномочий;В объеме бюджетного финансирования на осуществление полномочий;Не оценивались в пределах полномочий
12545;-;Принятие постановления не повлияет на соответствующие расходы или поступления в бюджеты всех уровней бюджетной системы Российской Федерации;-;-;-
12558;Не предусмотрено;-;-;-;-
12902;уполномоченный орган исполнительной власти субъекта Российской Федерации;На ведение региональных реестров виноградных насаждений;По экспертным оценкам около 5 млн. руб. ежегодно.;По экспертным оценкам около 5 млн. руб. ежегодно.;не потребуется
13559;нет;нет;нет;нет;нет
14026;принятие приказа не приведет к изменений расходов бюджетной системы Российской Федерации;-;-;-;-
14309;Уточнение процедурных аспектов взаимодействия между заинтересованными федеральными органами исполнительной власти в процессе подготовки предложений о применении особых формул расчета ставок вывозных таможенных пошлин на нефть сырую, добываемую на конкретных месторождениях, и проведения мониторинга обоснованности их применения, обработка дополнительной информации в соответствии с проектом постановления;все заинтересованные федеральные органы исполнительной власти;0;0;0
14383;-;Принятие приказа не приведет к установлению новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления;-;-;-
14725;"Принятие правовых актов ФТС России:                 изменение порядка направления таможенным органом в банки и иные кредитные организации запроса о представлении документов и сведений;";ФТС России;-;-;-
14725;"изменение порядка представления банками и иными кредитными организациями документов и сведений по запросам таможенных органов;";ФТС России;-;-;-
14725;"изменение форм документов, применяемых  при проведении таможенных проверок;";ФТС России;-;-;-
14725;"утверждение порядка внесения изменений в решение о проведении выездной таможенной проверки;";ФТС России;-;-;-
14725;внесение изменений в Инструкцию о действиях должностных лиц таможенных органов при проведении таможенного контроля в форме таможенной проверки, утвержденную приказом ФТС России от 6 июля 2012 г. № 1373;ФТС России;-;-;-
14725;"Исполнение Федерального закона от 27 ноября 2010 г. № 311-ФЗ «О таможенном регулировании в Российской Федерации» и правовых актов ФТС России: увеличение числа случаев направления таможенным органом в банки и иные кредитные организации запроса о представлении документов и сведений;";таможенные органы;-;-;-
14725;"устанавливается срок утверждения акта таможенной проверки начальником (заместителем начальника) таможенного органа, проводившего таможенную проверку;";таможенные органы;-;-;-
14725;внесение изменений в решение о проведении выездной таможенной проверки в установленных случаях;таможенные органы;-;-;-
14748;-;-;отсутствуют;отсутствуют;-
15099;-;-;-;-;-
15247;р-;-;-;-;-
15379;"реализация полномочий Россельхознадзора
на выдачу заявителям разрешения на использование маркировочного знака, присвоение им кода изготовителя или производителя обработки древесных упаковочных и крепежных материалов";Россельхознадзор;Не требуются;Не требуются;Отсутствуют
17151;-;Изменение бюджетов бюджетной системы Российской Федерации законопроектом не предусмотрено;-;-;-
17464;направление документов для внесения сведений о контуре земель в Реестр;"органы государственной власти субъектов Российской Федерации; органы местного самоуправления; заинтересованные федеральные органы исполнительной власти";отсутствуют;отсутствуют;отсутсвуют
