regulation_project_id;Срок, в течение которого разработчиком принимались предложения в связи с размещением уведомления о подготовке проекта акта
7208;23.04.2014
7208;08.05.2014
7243;11.05.2016
7243;10.06.2016
7258;16.04.2013
7258;29.04.2013
7462;15 календарных дней с момента размещения
7462;15 календарных дней с момента размещения
7742;29 сентября 2014 г.
7742;13 октября 2014 г.
7981;08.08.2014
7981;23.08.2014
8475;г
8475;г
10140;09.12.2013
10140;24.12.2013
10805;03.10.2013
10805;17.10.2013
11195;31 мая 2016
11195;15 июля 2016
11203;21.05.2015
11203;05.02.2015
11760;1.04.2014
11760;29.10.2014
12524;15.05.2014
12524;05.07.2017
12545;15.05.2014
12545;30.05.2014
12558;2013 г.
12558; 
12902;«16» октября 2014 г.
12902;«31» октября 2014 г.
13374;-
13374; 
13559;«22»  октября 2014 г.
13559;«11»  ноября  2014 г.
13963;25.03.2014
13963;09.04.2014
14026;08.07.2013
14026;23.07.2013
14200;07.02.2014
14200;22.02.2014
14309;11 июля 2014 г.
14309;26 июля 2014 г.
14383;08.07.2013 
14383; 
14725;29 октября 2014 г.
14725;13 ноября  2014 г.
14748;18 октября 2019 г.
14748;2 ноября 2019 г.
15099;02-06-2014
15099;17-06-2014
15247;16.07.2014 
15247;31.07.2014
15379;17.07.2014
15379;16.08.2014
17151;26 ноября 2015 года________ 30 мая 2014 г.                          
17151;9 декабря 2015 года________14 июня 2014 г.                        
17464;18 февраля 2014 г.
17464;4 марта 2014
17555;12.09.2014
17555;27.09.2014
17984;24.07.2014
17984;08.08.2014
18013;28-07-2014
18013;12-08-2014
18162;6.05.2014
18162;21.05.2014
18209;27 апреля 2015 г.
18209;12 мая 2015 г.
18230;07 ноября  2014 
18230;02 декабря 2014
18247;27.02.2015      
18247;14.03.2015
18484;2 марта 2015 года
18484;17 марта 2015 года 
18716;24.07.2015
18716; 
18796;23.04.2014
18796;23.04.2014
18827;16.06.2014
18827;01.07.2014
18839;30.06.2014
18839;14.08.2014
